"Código do Município","Nome do Município","Código da UF","Unidade da Federação","Região","Ioeb","Ano do Ioeb","Insumos do Ioeb","Resultados do Ioeb","Total de Matrículas","População","Categoria do Quadrante"
"3306305","Volta Redonda","33","RJ","Sudeste","4,8","2023","1,0","3,8","58.418","273.012","CRÍTICO"
"3300407","Barra Mansa","33","RJ","Sudeste","4,7","2023","1,2","3,6","32.675","184.412","EM DESENVOLVIMENTO"
"3300605","Bom Jesus do Itabapoana","33","RJ","Sudeste","4,7","2023","1,0","3,7","9.056","37.096","CRÍTICO"
"3301504","Cordeiro","33","RJ","Sudeste","4,7","2023","0,9","3,7","5.167","21.926","CRÍTICO"
"3301801","Engenheiro Paulo de Frontin","33","RJ","Sudeste","4,7","2023","1,1","3,6","2.670","14.002","EM DESENVOLVIMENTO"
"3302304","Laje do Muriaé","33","RJ","Sudeste","4,7","2023","1,2","3,6","1.597","7.355","EM DESENVOLVIMENTO"
"3302452","Macuco","33","RJ","Sudeste","4,7","2023","1,2","3,6","2.046","5.599","EM DESENVOLVIMENTO"
"3302809","Mendes","33","RJ","Sudeste","4,7","2023","1,1","3,6","3.301","18.614","CRÍTICO"
"3303807","Paraty","33","RJ","Sudeste","4,7","2023","1,1","3,6","10.543","43.165","ND"
"3304110","Porto Real","33","RJ","Sudeste","4,7","2023","1,0","3,7","4.277","19.683","EM DESENVOLVIMENTO"
"3304144","Queimados","33","RJ","Sudeste","4,7","2023","1,0","3,7","33.597","150.319","EM DESENVOLVIMENTO"
"3304409","Rio Claro","33","RJ","Sudeste","4,7","2023","1,1","3,6","3.705","18.529","CRÍTICO"
"3304805","São Fidélis","33","RJ","Sudeste","4,7","2023","1,0","3,8","8.126","38.669","EM DESENVOLVIMENTO"
"3306206","Vassouras","33","RJ","Sudeste","4,7","2023","1,0","3,7","7.470","36.896","EM DESENVOLVIMENTO"
"3300308","Barra do Piraí","33","RJ","Sudeste","4,6","2023","1,1","3,5","17.308","100.374","EM DESENVOLVIMENTO"
"3300936","Carapebus","33","RJ","Sudeste","4,6","2023","1,1","3,5","2.852","16.301","EM DESENVOLVIMENTO"
"3301108","Cantagalo","33","RJ","Sudeste","4,6","2023","1,1","3,5","3.554","20.172","CRÍTICO"
"3302007","Itaguaí","33","RJ","Sudeste","4,6","2023","1,1","3,5","31.773","133.019","EM DESENVOLVIMENTO"
"3303104","Natividade","33","RJ","Sudeste","4,6","2023","0,8","3,7","2.891","15.317","EM DESENVOLVIMENTO"
"3303302","Niterói","33","RJ","Sudeste","4,6","2023","1,0","3,6","97.682","513.584","CRÍTICO"
"3303401","Nova Friburgo","33","RJ","Sudeste","4,6","2023","0,9","3,6","38.445","190.631","CRÍTICO"
"3303906","Petrópolis","33","RJ","Sudeste","4,6","2023","1,2","3,4","63.680","306.191","CRÍTICO"
"3304102","Porciúncula","33","RJ","Sudeste","4,6","2023","1,1","3,5","3.588","18.847","CRÍTICO"
"3305752","Tanguá","33","RJ","Sudeste","4,6","2023","1,1","3,5","7.027","34.309","EM DESENVOLVIMENTO"
"3301157","Cardoso Moreira","33","RJ","Sudeste","4,5","2023","1,0","3,4","2.999","12.823","EM DESENVOLVIMENTO"
"3301850","Guapimirim","33","RJ","Sudeste","4,5","2023","0,9","3,6","11.303","60.517","EM DESENVOLVIMENTO"
"3302056","Italva","33","RJ","Sudeste","4,5","2023","0,8","3,8","2.563","15.207","CRÍTICO"
"3302502","Magé","33","RJ","Sudeste","4,5","2023","0,9","3,6","60.790","245.071","EM DESENVOLVIMENTO"
"3302858","Mesquita","33","RJ","Sudeste","4,5","2023","1,1","3,4","34.581","176.103","EM DESENVOLVIMENTO"
"3303203","Nilópolis","33","RJ","Sudeste","4,5","2023","1,0","3,5","34.568","162.485","EM DESENVOLVIMENTO"
"3304300","Rio Bonito","33","RJ","Sudeste","4,5","2023","1,1","3,5","12.094","60.201","EM DESENVOLVIMENTO"
"3304755","São Francisco de Itabapoana","33","RJ","Sudeste","4,5","2023","1,1","3,5","11.204","42.205","EM DESENVOLVIMENTO"
"3305901","Trajano de Moraes","33","RJ","Sudeste","4,5","2023","1,0","3,5","2.078","10.626","CRÍTICO"
"3300209","Araruama","33","RJ","Sudeste","4,4","2023","1,0","3,4","28.702","132.400","EM DESENVOLVIMENTO"
"3300704","Cabo Frio","33","RJ","Sudeste","4,4","2023","1,0","3,4","46.705","219.863","EM DESENVOLVIMENTO"
"3300803","Cachoeiras de Macacu","33","RJ","Sudeste","4,4","2023","1,0","3,4","11.659","58.937","EM DESENVOLVIMENTO"
"3301009","Campos dos Goytacazes","33","RJ","Sudeste","4,4","2023","1,1","3,3","112.725","507.548","EM DESENVOLVIMENTO"
"3301900","Itaboraí","33","RJ","Sudeste","4,4","2023","1,0","3,4","49.085","240.592","EM DESENVOLVIMENTO"
"3302601","Mangaratiba","33","RJ","Sudeste","4,4","2023","0,9","3,5","10.338","44.468","CRÍTICO"
