"Código do Município","Nome do Município","Código da UF","Unidade da Federação","Região","Ioeb","Ano do Ioeb","Insumos do Ioeb","Resultados do Ioeb","Total de Matrículas","População","Categoria do Quadrante"
"3305901","Trajano de Moraes","33","RJ","Sudeste","4,4","2019","0,8","3,6","2.178","10.626",""
"3305901","Trajano de Moraes","33","RJ","Sudeste","4,5","2021","1,0","3,4","2.117","10.626",""
"3305901","Trajano de Moraes","33","RJ","Sudeste","4,5","2023","1,0","3,5","2.078","10.626","CRÍTICO"
"3306008","Três Rios","33","RJ","Sudeste","4,5","2019","1,2","3,3","18.221","81.804",""
"3306008","Três Rios","33","RJ","Sudeste","5,0","2021","1,2","3,9","18.271","81.804",""
"3306008","Três Rios","33","RJ","Sudeste","4,9","2023","1,2","3,7","20.220","81.804","EM DESENVOLVIMENTO"
"3306107","Valença","33","RJ","Sudeste","4,2","2019","1,1","3,1","14.304","76.523",""
"3306107","Valença","33","RJ","Sudeste","4,3","2021","1,1","3,2","13.957","76.523",""
"3306107","Valença","33","RJ","Sudeste","4,4","2023","1,1","3,3","15.330","76.523","CRÍTICO"
"3306156","Varre-Sai","33","RJ","Sudeste","4,2","2019","0,9","3,3","2.539","11.000",""
"3306156","Varre-Sai","33","RJ","Sudeste","4,3","2021","1,0","3,3","2.490","11.000",""
"3306156","Varre-Sai","33","RJ","Sudeste","4,3","2023","1,0","3,4","2.404","11.000","CRÍTICO"
"3306206","Vassouras","33","RJ","Sudeste","4,1","2019","1,1","3,0","7.283","36.896",""
"3306206","Vassouras","33","RJ","Sudeste","4,4","2021","1,0","3,4","7.178","36.896",""
"3306206","Vassouras","33","RJ","Sudeste","4,7","2023","1,0","3,7","7.470","36.896","EM DESENVOLVIMENTO"
"3306305","Volta Redonda","33","RJ","Sudeste","4,6","2019","1,0","3,6","55.775","273.012",""
"3306305","Volta Redonda","33","RJ","Sudeste","4,8","2021","1,0","3,8","54.951","273.012",""
"3306305","Volta Redonda","33","RJ","Sudeste","4,8","2023","1,0","3,8","58.418","273.012","CRÍTICO"
