"Código do Município","Nome do Município","Código da UF","Unidade da Federação","Região","Ioeb","Ano do Ioeb","Insumos do Ioeb","Resultados do Ioeb","Total de Matrículas","População","Categoria do Quadrante"
"3301009","Campos dos Goytacazes","33","RJ","Sudeste","4,4","2023","1,1","3,3","112.725","507.548","EM DESENVOLVIMENTO"
"3301108","Cantagalo","33","RJ","Sudeste","4,5","2019","1,1","3,3","3.504","20.172",""
"3301108","Cantagalo","33","RJ","Sudeste","4,6","2021","1,1","3,5","3.461","20.172",""
"3301108","Cantagalo","33","RJ","Sudeste","4,6","2023","1,1","3,5","3.554","20.172","CRÍTICO"
"3301157","Cardoso Moreira","33","RJ","Sudeste","4,0","2019","1,0","3,1","2.910","12.823",""
"3301157","Cardoso Moreira","33","RJ","Sudeste","3,9","2021","1,0","3,0","2.832","12.823",""
"3301157","Cardoso Moreira","33","RJ","Sudeste","4,5","2023","1,0","3,4","2.999","12.823","EM DESENVOLVIMENTO"
"3301207","Carmo","33","RJ","Sudeste","4,8","2019","1,2","3,6","3.622","18.895",""
"3301207","Carmo","33","RJ","Sudeste","4,8","2021","1,2","3,6","3.458","18.895",""
"3301207","Carmo","33","RJ","Sudeste","4,9","2023","1,2","3,7","3.875","18.895","CRÍTICO"
"3301306","Casimiro de Abreu","33","RJ","Sudeste","4,8","2019","1,0","3,8","10.858","44.184",""
"3301306","Casimiro de Abreu","33","RJ","Sudeste","5,2","2021","1,1","4,1","10.698","44.184",""
"3301306","Casimiro de Abreu","33","RJ","Sudeste","4,9","2023","1,1","3,8","11.185","44.184","CRÍTICO"
"3301405","Conceição de Macabu","33","RJ","Sudeste","0,0","2019","0,9","0,0","4.979","23.228",""
"3301405","Conceição de Macabu","33","RJ","Sudeste","4,5","2021","1,1","3,4","4.926","23.228",""
"3301405","Conceição de Macabu","33","RJ","Sudeste","4,8","2023","1,0","3,8","5.267","23.228","ND"
"3301504","Cordeiro","33","RJ","Sudeste","4,5","2019","1,1","3,4","4.396","21.926",""
"3301504","Cordeiro","33","RJ","Sudeste","4,3","2021","0,8","3,5","4.158","21.926",""
"3301504","Cordeiro","33","RJ","Sudeste","4,7","2023","0,9","3,7","5.167","21.926","CRÍTICO"
"3301603","Duas Barras","33","RJ","Sudeste","4,4","2019","0,9","3,5","2.357","11.492",""
"3301603","Duas Barras","33","RJ","Sudeste","4,6","2021","1,0","3,6","2.330","11.492",""
"3301603","Duas Barras","33","RJ","Sudeste","4,8","2023","1,1","3,7","2.649","11.492","EM DESENVOLVIMENTO"
"3301702","Duque de Caxias","33","RJ","Sudeste","4,1","2019","1,1","3,0","174.205","919.596",""
"3301702","Duque de Caxias","33","RJ","Sudeste","4,3","2021","1,1","3,2","173.128","919.596",""
"3301702","Duque de Caxias","33","RJ","Sudeste","4,2","2023","1,0","3,2","190.087","919.596","CRÍTICO"
"3301801","Engenheiro Paulo de Frontin","33","RJ","Sudeste","4,3","2019","1,1","3,2","2.640","14.002",""
"3301801","Engenheiro Paulo de Frontin","33","RJ","Sudeste","4,8","2021","1,1","3,7","2.596","14.002",""
"3301801","Engenheiro Paulo de Frontin","33","RJ","Sudeste","4,7","2023","1,1","3,6","2.670","14.002","EM DESENVOLVIMENTO"
"3301850","Guapimirim","33","RJ","Sudeste","4,2","2019","0,9","3,3","10.419","60.517",""
"3301850","Guapimirim","33","RJ","Sudeste","4,0","2021","0,9","3,1","10.415","60.517",""
"3301850","Guapimirim","33","RJ","Sudeste","4,5","2023","0,9","3,6","11.303","60.517","EM DESENVOLVIMENTO"
"3301876","Iguaba Grande","33","RJ","Sudeste","4,5","2019","1,0","3,5","6.468","28.310",""
"3301876","Iguaba Grande","33","RJ","Sudeste","4,8","2021","1,0","3,8","6.693","28.310",""
"3301876","Iguaba Grande","33","RJ","Sudeste","0,0","2023","1,0","0,0","7.431","28.310","ND"
"3301900","Itaboraí","33","RJ","Sudeste","4,1","2019","1,0","3,1","45.222","240.592",""
"3301900","Itaboraí","33","RJ","Sudeste","4,3","2021","1,1","3,3","44.389","240.592",""
"3301900","Itaboraí","33","RJ","Sudeste","4,4","2023","1,0","3,4","49.085","240.592","EM DESENVOLVIMENTO"
"3302007","Itaguaí","33","RJ","Sudeste","4,1","2019","1,0","3,1","29.500","133.019",""
"3302007","Itaguaí","33","RJ","Sudeste","4,3","2021","1,0","3,4","29.106","133.019",""
"3302007","Itaguaí","33","RJ","Sudeste","4,6","2023","1,1","3,5","31.773","133.019","EM DESENVOLVIMENTO"
"3302056","Italva","33","RJ","Sudeste","4,5","2019","1,0","3,5","2.514","15.207",""
"3302056","Italva","33","RJ","Sudeste","4,3","2021","0,8","3,5","2.473","15.207",""
"3302056","Italva","33","RJ","Sudeste","4,5","2023","0,8","3,8","2.563","15.207","CRÍTICO"
"3302106","Itaocara","33","RJ","Sudeste","4,6","2019","1,0","3,6","4.268","23.234",""
"3302106","Itaocara","33","RJ","Sudeste","4,9","2021","0,8","4,1","4.220","23.234",""
"3302106","Itaocara","33","RJ","Sudeste","5,1","2023","1,0","4,1","4.669","23.234","OTIMIZADO"
"3302205","Itaperuna","33","RJ","Sudeste","5,3","2019","1,2","4,2","19.068","103.224",""
"3302205","Itaperuna","33","RJ","Sudeste","5,3","2021","1,2","4,1","18.984","103.224",""
"3302205","Itaperuna","33","RJ","Sudeste","5,2","2023","1,2","4,0","20.919","103.224","ATENÇÃO"
"3302254","Itatiaia","33","RJ","Sudeste","4,6","2019","1,0","3,6","5.709","31.805",""
"3302254","Itatiaia","33","RJ","Sudeste","4,8","2021","1,2","3,6","5.709","31.805",""
"3302254","Itatiaia","33","RJ","Sudeste","4,8","2023","1,1","3,7","6.061","31.805","EM DESENVOLVIMENTO"
"3302270","Japeri","33","RJ","Sudeste","3,8","2019","0,8","3,0","19.221","104.768",""
"3302270","Japeri","33","RJ","Sudeste","4,0","2021","0,9","3,1","18.952","104.768",""
"3302270","Japeri","33","RJ","Sudeste","4,0","2023","0,8","3,3","22.164","104.768","EM DESENVOLVIMENTO"
"3302304","Laje do Muriaé","33","RJ","Sudeste","4,3","2019","1,0","3,3","1.560","7.355",""
"3302304","Laje do Muriaé","33","RJ","Sudeste","4,6","2021","1,1","3,5","1.512","7.355",""
"3302304","Laje do Muriaé","33","RJ","Sudeste","4,7","2023","1,2","3,6","1.597","7.355","EM DESENVOLVIMENTO"
"3302403","Macaé","33","RJ","Sudeste","4,8","2019","1,1","3,6","54.045","256.672",""
"3302403","Macaé","33","RJ","Sudeste","5,1","2021","1,1","4,0","55.729","256.672",""
"3302403","Macaé","33","RJ","Sudeste","5,0","2023","1,1","3,9","61.572","256.672","CRÍTICO"
"3302452","Macuco","33","RJ","Sudeste","4,5","2019","1,1","3,4","1.802","5.599",""
"3302452","Macuco","33","RJ","Sudeste","4,8","2021","1,2","3,6","1.855","5.599",""
"3302452","Macuco","33","RJ","Sudeste","4,7","2023","1,2","3,6","2.046","5.599","EM DESENVOLVIMENTO"
"3302502","Magé","33","RJ","Sudeste","3,7","2019","0,9","2,8","54.687","245.071",""
"3302502","Magé","33","RJ","Sudeste","4,5","2021","0,9","3,6","56.001","245.071",""
"3302502","Magé","33","RJ","Sudeste","4,5","2023","0,9","3,6","60.790","245.071","EM DESENVOLVIMENTO"
"3302601","Mangaratiba","33","RJ","Sudeste","4,3","2019","1,0","3,3","8.904","44.468",""
"3302601","Mangaratiba","33","RJ","Sudeste","4,4","2021","0,9","3,5","8.982","44.468",""
